rijec,klasa
kliničare,0
utrošene,0
izjednacio,0
navode,0
afrobeat,1
ceremony,1
enthusiast,1
made,1
slapping,1
hipohondara,0
showom,1
break,1
lokvu,0
udobnu,0
unison,1
taekwondoaš,1
ploda,0
cadaver,1
razrežu,0
migration,1
propolisom,0
missile,1
until,1
izostavlja,0
odgoja,0
neoriginalne,0
bezbrižni,0
džematu,0
amazing,1
skirt,1
krhkim,0
kompetencijskog,0
reliktnih,0
ustoličili,0
underground,1
grounds,1
biosferi,0
armed,1
prijetila,0
borongajske,0
transfuziologije,0
preuveličano,0
opoziva,0
prošire,0
lavandinim,0
sveže,0
problems,1
iskrvari,0
fotoreportaža,0
evidence,1
chilly,1
zviznuo,0
međukorejskim,0
nautičku,0
veličanstvenih,0
module,1
samoobmane,0
žurim,0
well-being,1
stated,1
listening,1
fifth,1
ljepilo,0
pokrivenošću,0
what,1
gibanici,0
sukcesijsko,0
lokvarskih,0
kinky,1
hurt,1
simple,1
sinkronizacije,0
bags,1
suverenitetom,0
sklupčala,0
egzorcistu,0
internetima,0
glossy,1
rocket,1
najtrofejnijega,0
zahvaljujem,0
sign,1
zanesemo,0
schedule,1
ghetto,1
outside,1
cognac,1
modernističkoj,0
additional,1
wanna-be,1
abortion,1
zastavu,0
smrtonosnijom,0
processor,1
bitter,1
apneje,0
lie,1
mid,1
flag,1
row,1
opravdavajuće,0
hrvačke,0
submission,1
ugly,1
called,1
unforgettable,1
spomen-područjem,0
collection,1
inaugural,1
bless,1
minimally,1
crossing,1
solar,1
working,1
najutjecajnihih,0
transplant,1
maksimalnom,0
semifinal,1
hug,1
project,1
postdoktorsku,0
ubojičin,0
uzbekistanski,0
photography,1
kovčežiću,0
podignem,0
ishemijski,0
učenom,0
solisti,0
dobrohotan,0
millennial,1
pogrebni,0
vampiri,0
currya,1
max,1
mentalnoj,0
marki,0
smartwatch,1
jam,1
firmware,1
pneumokokne,0
oportunistom,0
router,1
bonding,1
fair,1
posezonu,0
dvojica-trojica,0
plamenica,0
biflati,0
and,1
stew,1
takvome,0
terror,1
champ,1
bridge,1
kubična,0
grijanih,0
fluorescentne,0
noklica,0
truth,1
paradiranje,0
odrasteš,0
power-play,1
mjesečevim,0
bilteni,0
inverter,1
nesrazmjerno,0
finished,1
settled,1
ljetine,0
jajovoda,0
teaser,1
cijedio,0
regard,1
fear,1
vlasteline,0
demokrate,0
feeling,1
oklijevanje,0
venue,1
kilometer,1
networks,1
neprolaznih,0
euro-afričke,0
utabana,0
zombie,1
udaranjem,0
djedovom,0
divorce,1
nepodmirenom,0
stopped,1
finish,1
planinu,0
hotelijeru,0
bush,1
muffin,1
steam,1
hipotetičkim,0
solidnijim,0
bojišnice,0
nepristranom,0
glory,1
bašćanska,0
expensive,1
kidala,0
coma,1
ojačaš,0
chilled,1
helix,1
dužinu,0
limfomom,0
seen,1
weba,1
just,1
cases,1
unibody,1
etnomuzikologinja,0
twerking,1
deployed,1
civilno-javnog,0
direction,1
kruzer,0
obrubljenu,0
ergelom,0
pound,1
samozaposlen,0
svatove,0
lijevani,0
arrest,1
depozitarne,0
švalera,0
počinitelja,0
amnestija,0
beautiful,1
bikova,0
lyrical,1
najvažnije,0
istodobno,0
ponovljenome,0
brucošima,0
introduced,1
facility,1
udomaćeno,0
jedanaestoricu,0
napaljenosti,0
population,1
vađen,0
trećemajskog,0
ozbilnije,0
duration,1
cops,1
perivim,0
fox,1
pitkije,0
trapped,1
tribe,1
blagonakloniji,0
hat,1
satelitskim,0
broken,1
potegnit,0
bouquet,1
allowed,1
veterinarku,0
aktiviraju,0
gljivicom,0
likujući,0
roštiljanje,0
soap,1
masonerije,0
vanzemaljske,0
picturesque,1
kantonalnim,0
ordinary,1
empatičnom,0
skraćenom,0
knockout,1
expo,1
jednotjednu,0
boxingu,1
krpelji,0
certificate,1
auto-gume,0
mixed,1
zeljem,0
četveročlane,0
produced,1
queen,1
žabama,0
earthquake,1
vast,1
dot,1
cinema,1
instead,1
glatke,0
prosecutor,1
e-poreznoj,0
variety,1
rusistiku,0
loop,1
clubs,1
yes,1
sleep,1
homemade,1
kleknula,0
wrong,1
dinamičnosti,0
cheese,1
pacemaker,1
bajunetama,0
walking,1
moderate,1
razvijeti,0
buy,1
erotičnoj,0
nepravičnosti,0
udružio,0
castle,1
khaki,1
electronic,1
end,1
zasjenjenja,0
briefing,1
spinner,1
psihostimulansima,0
alive,1
nevjesta,0
obrazujem,0
mirror,1
ivory,1
preambicioznih,0
value,1
fašničkih,0
roll-on,1
uspavanosti,0
swingere,1
tap,1
novovjenčani,0
gunmen,1
gourmet,1
theme,1
banjolučka,0
king,1
showcase,1
rodovnikom,0
enough,1
light-show,1
accept,1
kukuljicama,0
krovište,0
odstranjivanje,0
međimurskoga,0
low-cost,1
oduševljen,0
timing,1
wolf,1
fetish,1
diligence,1
objavilo,0
kartonima,0
noble,1
seller,1
splitter,1
tuđmanovac,0
tricks,1
konstruiranog,0
duper,1
spasioci,0
brunch,1
nenadomjestiv,0
interpret,1
sweatshirt,1
šlagu,0
potraživanim,0
any,1
međudržavnu,0
merely,1
starohrvatske,0
razdražljivošću,0
shoot,1
mad,1
evening,1
interested,1
otrovani,0
mirnog,0
fellow,1
identify,1
question,1
fallen,1
battle,1
street,1
trereni,0
animiranom,0
license,1
fireworks,1
defined,1
orkestar,0
delicious,1
role-playing,1
štiklica,0
raznovrsnijom,0
hyper,1
built,1
afternoon,1
cornflakes,1
editor,1
leader,1
malokalibarskim,0
egzorcizama,0
jeans,1
pearl,1
štovateljem,0
sricali,0
news,1
lean,1
political,1
header,1
beštimat,0
kretao,0
vičnije,0
northwest,1
požeškoga,0
latex,1
unexpected,1
placement,1
chain,1
ocekuju,0
opažati,0
slatkiši,0
got,1
autocisterne,0
sinovljeva,0
pandemijama,0
comp,1
no-fly,1
revealed,1
liquid,1
streaming,1
ispijanja,0
odslušanog,0
isplatnu,0
lipnju,0
zrelijom,0
zaljuljao,0
slasher,1
odselili,0
liberalizacija,0
sitting,1
squad,1
popuštanjima,0
greige,1
intended,1
paketićem,0
antitalibanske,0
kontinuitet,0
dortmundskog,0
itself,1
popravljalo,0
lakiranja,0
serious,1
doesnt,1
extra,1
diskreditirala,0
stunt,1
macerate,1
kičeraj,0
uvredljivim,0
windsurferi,1
gruntovni,0
takmičari,0
bond,1
primarily,1
article,1
residence,1
informed,1
included,1
različitoga,0
najprikladnijem,0
izribao,0
logorašice,0
uskratila,0
missed,1
željenome,0
vrtići,0
investiture,1
famous,1
selfness,1
foot,1
scotch,1
regenerirati,0
royal,1
practice,1
construction,1
someone,1
koprcaju,0
julienne,1
experiences,1
error,1
doputovati,0
pragove,0
tonskih,0
skici,0
signed,1
špinu,0
lacrosse,1
off-road,1
gunđa,0
advice,1
stand,1
klaunerija,0
padamo,0
vegetacijskih,0
answers,1
mop,1
odreci,0
ponajveću,0
zakačenim,0
widget,1
knjižio,0
liner,1
hrapav,0
agriculture,1
player,1
hub,1
revitalizacijom,0
uvertire,0
happyend,1
entertainer,1
topic,1
diplomatskom,0
grave,1
gale,1
slopestyleu,1
identity,1
personnel,1
erektilnu,0
trade,1
neither,1
iconic,1
barbecue,1
wagsica,1
ignorant,1
emancipiranu,0
housing,1
balm,1
plenty,1
nedovoljnoga,0
sandal,1
komičnije,0
zamračeno,0
konobare,0
zasladila,0
opportunity,1
introduction,1
zucchini,1
brandyja,1
trabanti,0
trainer,1
democratic,1
gear,1
legislative,1
piloxing,1
profiterstvo,0
šestokrake,0
turning,1
svjedokom,0
baštinskom,0
kompoziciji,0
hour,1
ready,1
flame,1
retweet,1
filmografiji,0
joker,1
hearing,1
odumiranju,0
gliseru,0
point,1
credit,1
skupljih,0
superbaze,0
punk-blues,1
bang,1
picigina,0
posjednuća,0
storm,1
well,1
nanijelo,0
defense,1
round,1
glasnogovrnika,0
mandatnog,0
zaklonjena,0
turističkome,0
talk-showova,1
division,1
ginger,1
odrezanom,0
laugh,1
uglazbljeni,0
trails,1
losing,1
admitted,1
koluta,0
frame,1
gumarske,0
grijanog,0
zagledanost,0
maxima,1
perfekciji,0
dvodimenzionalne,0
hearts,1
grime,1
svađalice,0
skopskoga,0
retail,1
strijelci,0
hundred,1
informacijma,0
dish,1
latinskim,0
pobigli,0
inside,1
nedjelji,0
grancigule,0
pro-brexit,1
ulijenilo,0
forehand,1
channel,1
exciting,1
petrinjskim,0
repicom,0
deliver,1
crno-plavog,0
mitom,0
suglasno,0
worchester,1
freestyleri,1
pritajenu,0
immune,1
suburb,1
para-taekwondo,1
ownership,1
placet,1
povećala,0
podmorju,0
ispadnja,0
florist,1
košute,0
kriptičnim,0
izmiješalo,0
iziđete,0
unprecedented,1
rastrzana,0
lučkoj,0
tuning,1
illustration,1
lakšoj,0
univerzum,0
urote,0
architecture,1
democracy,1
tekle,0
altar,1
stjecatelj,0
peel-off,1
poses,1
peoples,1
ministarskoj,0
request,1
dense,1
word,1
sinergijskih,0
cooking,1
history,1
window,1
afterwork,1
zavičajima,0
bukureštanski,0
fondue,1
task,1
service,1
upozoreno,0
ugovor,0
kotirala,0
obračunate,0
mirisima,0
ugušenih,0
allegedly,1
pastele,0
šatorskih,0
protumuslimanskim,0
utorka,0
nadraženo,0
hedge,1
oplovila,0
stem,1
dramatičnom,0
formuliralo,0
bradatu,0
diuretiku,0
machines,1
prvopričesnici,0
avenue,1
rezigniran,0
vizualizaciju,0
deprofesionalizaciji,0
pokrećeš,0
četničku,0
merchandise,1
ishođenje,0
oil,1
nadjeven,0
zakoprcao,0
secondary,1
šećernog,0
chic,1
feasibility,1
viewed,1
user,1
inclusion,1
bolovale,0
mlatile,0
dirt,1
prijedlozi,0
prevaljivati,0
killings,1
skimming,1
nadolaze,0
metaka,0
speech,1
championship,1
protuzrakoplovnim,0
preuređuje,0
storytelling,1
pronalazača,0
navigation,1
visokovrijedne,0
crash,1
napakirati,0
lines,1
women,1
headline,1
egzistencijalističke,0
chicken,1
šarenoj,0
coming,1
naglašenim,0
assistance,1
kalendaru,0
prvorođenoj,0
selfies,1
regent,1
amour,1
newspapers,1
heat,1
uspjelu,0
emblem,1
mock,1
posing,1
sealed,1
trance,1
vulkansko,0
postratni,0
regular,1
neupisan,0
decided,1
krstimo,0
shouts,1
beznadežno,0
šizofrenu,0
grafikonu,0
prenatrpanog,0
tomato,1
spy,1
lajav,0
zobeni,0
contest,1
monday,1
foul,1
jack,1
osovini,0
podnescima,0
united,1
phenomenon,1
summer,1
hardly,1
ugledati,0
pripadna,0
spoznajna,0
zaračunata,0
employee,1
češljate,0
primorsku,0
politizirate,0
display,1
uznapredovalog,0
primer,1
ispruženih,0
rating,1
barda,0
rješevanja,0
razmontirala,0
siledžijskog,0
iskoordinirano,0
pap,1
pogledajmo,0
politician,1
transformiranom,0
naslijeđenim,0
music,1
černobilskom,0
ženinu,0
lame,1
suspendirali,0
ukazujete,0
etwining,1
smionosti,0
aranžirali,0
china,1
opterećenjem,0
maksime,0
sretanja,0
humanija,0
valentinovskom,0
ornitologa,0
wikimedia,1
snooker,1
train,1
ogorčenom,0
prenoćištu,0
najapsurdnije,0
češnjakom,0
represent,1
pozamašnom,0
baštinila,0
nothing,1
floor,1
old,1
refresh,1
razderanu,0
bypassa,1
forward,1
produžetaka,0
kvarnog,0
mikročipove,0
stone,1
pest,1
jednoć,0
antigay,1
possible,1
komunističkog,0
countrya,1
exotic,1
bagel,1
olabavila,0
mass,1
snake,1
naprosto,0
prokleo,0
country,1
protuhrvatskih,0
system,1
utegu,0
vulkanizer,0
catch,1
visible,1
primjenili,0
dog,1
therapy,1
fizici,0
crony,1
approaching,1
criteria,1
percent,1
grandeur,1
dvadesetim,0
skinny,1
lecture,1
poticajnih,0
reader,1
prošlogodišnje,0
sporty,1
concern,1
volume,1
deformiranja,0
nabrali,0
neujednačen,0
rugby,1
perhaps,1
need,1
ispostavlja,0
homeless,1
pošpricale,0
snagom,0
furious,1
stretch,1
interesting,1
tested,1
pjevanju,0
naraslom,0
walk-in,1
ismijavana,0
vratnicom,0
rent,1
botaniku,0
usamljenoj,0
newsletter,1
nor,1
zloslutnih,0
paganskim,0
physics,1
dovikivanja,0
kancelariju,0
telling,1
umućen,0
trumpovskom,0
cave,1
adaptacije,0
potezima,0
classes,1
razgovorljive,0
teacher,1
bootleg,1
plagiranim,0
english,1
umreže,0
epoha,0
acknowledges,1
synthova,1
asfaltiranu,0
scripts,1
coli,1
prefix,1
prikrivena,0
noise,1
simply,1
full,1
bath,1
skrenulo,0
picnic,1
perje,0
safety,1
sweet,1
alert,1
metrics,1
federalni,0
izliječenju,0
politiziramo,0
promašenima,0
indukcijski,0
motto,1
napunio,0
favor,1
šokirat,0
eastern,1
arbitrarnosti,0
laburist,0
prikazala,0
slizavanje,0
monokromatskoj,0
against,1
igraliste,0
ekonomiste,0
kuljali,0
okay,1
ministrica,0
fudge,1
prijateljevanju,0
šmirgl,0
build,1
autocestama,0
luksuzni,0
klaustrofobičnog,0
zalupi,0
izbacivanje,0
either,1
francusko-kamerunskog,0
sheep,1
pašku,0
kandidirana,0
pulp,1
zakletva,0
hold,1
presuđene,0
fonetski,0
bottom,1
nevoljenog,0
najprimamljivija,0
buketići,0
aka,1
šutjele,0
dezorijentacijom,0
reproduktivnog,0
twinturbo,1
uspinjali,0
cover,1
režijsku,0
ložač,0
untouched,1
specific,1
swift,1
temporary,1
prišuljati,0
sagrađen,0
extensions,1
backstop,1
capable,1
interface,1
economics,1
najizraženijom,0
ljetošnjeg,0
melodic,1
independence,1
eating,1
her,1
amplificirani,0
udarača,0
oboljelim,0
network,1
poigralo,0
papučici,0
zamuckivao,0
krapinsko-zagorskim,0
afirmiranja,0
highways,1
ink,1
osmanska,0
wheel,1
spent,1
technical,1
varijable,0
jedanaesterce,0
dvorišni,0
neporezna,0
styling,1
jive,1
fellowship,1
zamagli,0
pull,1
cavendish,1
zapaljuje,0
prosvjedovanje,0
mrazova,0
energy,1
bjelokost,0
tromboembolijske,0
unučićem,0
pose,1
relevantnim,0
contents,1
epoxy,1
skip,1
watcha,1
shifting,1
killer,1
gallery,1
pretjeruju,0
showrooma,1
pridruženi,0
wellness-spa,1
evacuate,1
outfit,1
nenadmašivo,0
kancelarkine,0
fortune,1
neospornog,0
stores,1
informiraš,0
prayer,1
konzervativniji,0
krivinu,0
babybonus,1
down,1
lisabonskoj,0
cosy,1
exist,1
zaštitita,0
posjednu,0
last,1
hand-free,1
dobivaju,0
dodan,0
many,1
halfpipe,1
bižuterija,0
nepoderiv,0
singleplayer,1
crnije,0
konkurent,0
candidate,1
varaždin,0
tissue,1
freak,1
divljinama,0
kupski,0
must-have,1
dotjerivanjem,0
terrier,1
metallic,1
ubacivši,0
nadražiti,0
intendantsku,0
guze,0
navukle,0
warp,1
pomfrita,0
marriage,1
engineering,1
invasion,1
prisvojili,0
chairman,1
uzdignuća,0
kovanja,0
slalomaš,0
upucati,0
počinioce,0
agrees,1
shelter,1
sašiveno,0
effect,1
kandidira,0
sindikalnog,0
otezalo,0
versus,1
ex,1
warmup,1
it,1
polupan,0
walkman,1
ustalo,0
verso,1
operating,1
trkeljati,0
poljuljanoj,0
baletanke,0
drhtaj,0
okitile,0
tatica,0
višeetničke,0
narezivanje,0
tweetera,1
office,1
boudoir,1
potpredsjednicu,0
priskočiti,0
discovery,1
positivity,1
instructor,1
customer,1
pročelniku,0
hide,1
inficirana,0
registration,1
bite,1
poke,1
backdrop,1
kvislingu,0
lavljim,0
microusb,1
riješenjem,0
utjelovila,0
izložaka,0
respektabilnim,0
brownfield,1
neorganski,0
genius,1
society,1
tequila,1
worked,1
liberalno-demokratski,0
goalkeeper,1
firentinskog,0
pljesni,0
najvitalnije,0
observatory,1
eksplodira,0
troll,1
vane,1
experimental,1
financial,1
zagolicaju,0
vesternizacije,0
uče,0
informanata,0
hadezeovskoj,0
showman,1
plazibat,0
behind,1
equity,1
browniesa,1
cash,1
endokrinolozi,0
osvajanju,0
dancer,1
kapicama,0
tartufate,0
formation,1
skunk,1
openness,1
dočarana,0
decide,1
slate,1
nadziralo,0
čipkom,0
aerial,1
avionom,0
obljetničkog,0
order,1
harač,0
najtraženijim,0
presence,1
happy-end,1
porođajni,0
objašnjavanju,0
oslabljenih,0
antimony,1
explanation,1
fort,1
najodvratnijih,0
kriči,0
ibuprofena,0
butnog,0
siromaha,0
fraiche,0
ojađeno,0
radnom,0
agilityju,1
panic,1
suverenu,0
prezaduženosti,0
tamnosmeđu,0
reprezentirao,0
met,1
učionicom,0
kapljica,0
vrimenom,0
hurricane,1
ratnicima,0
stand-by,1
bundesligaških,0
otekli,0
shelf,1
zadala,0
lock,1
legal,1
cestari,0
number,1
demonska,0
objedinjena,0
violin,1
baruštinu,0
osamljene,0
backend,1
freeze,1
fun,1
potkopavanja,0
airbrush,1
men,1
otrovnost,0
onemogućit,0
extent,1
prvomučenik,0
krntiju,0
savezništvima,0
tennis,1
digestivni,0
zatočile,0
issue,1
polakome,0
platiti,0
flertali,0
two-day,1
uračunavati,0
visits,1
engineer,1
due,1
rising,1
mutant,1
migrantsko,0
neslanoj,0
potreba,0
galamila,0
hrestomatiju,0
boxspring,1
awarded,1
koordiniranog,0
early,1
lawyer,1
kraterima,0
films,1
offer,1
amputiranim,0
buzzer,1
express,1
product,1
ugledaš,0
far,1
beat,1
oblačniji,0
spustio,0
kacu,0
sredovječnih,0
detaljnijim,0
ušutkava,0
prometnuli,0
chronic,1
counting,1
telekomunikacije,0
hokejašice,0
residency,1
shadowing,1
bullyingu,1
pjenušavog,0
exercise,1
istyle,1
kragujevačkih,0
wearing,1
friendly,1
pattern,1
karamelizirani,0
sramite,0
pojasem,0
desk,1
rovitih,0
streptococcus,1
bitnija,0
bicycle,1
dinosaurus,0
bojama,0
posvećenim,0
bomb,1
company,1
ch-aviation,1
world-music,1
senatske,0
bekovskim,0
lemilice,0
getting,1
konferencijom,0
if,1
run,1
spiniranje,0
najsexy,1
him,1
receiver,1
redateljicama,0
unlisted,1
mixom,1
dance,1
okrnjeni,0
rugajući,0
oyster,1
watches,1
purchase,1
honor,1
plot,1
come,1
legacy,1
whatsappu,1
hororska,0
odvrtjelo,0
drifting,1
dealer,1
evolution,1
provokativne,0
natjecateljicama,0
kind,1
dramaturgijom,0
taking,1
extremely,1
pressing,1
puku,0
spring,1
uravnoteženiji,0
fail,1
ispitivanim,0
professor,1
turbomotor,0
source,1
tokarenjem,0
cementnu,0
krunskim,0
networka,1
genetic,1
pocket,1
mere,1
cemetery,1
campaign,1
respect,1
aditivom,0
potaknete,0
osumnjičenik,0
have,1
revolution,1
zamjenjujem,0
samostanske,0
četrdesetim,0
keks,0
ragdoll,1
atmosphere,1
montiranja,0
hižom,0
stjecatelja,0
determined,1
wallbox,1
nation,1
sijeno,0
offering,1
pout,1
šlapice,0
science,1
otuširaju,0
odmagati,0
bekend,0
osvijetljenom,0
chess,1
estate,1
razočaranje,0
leave,1
southwest,1
warm,1
opće,0
day,1
vatrogasno-operativnog,0
citylight,1
racionalna,0
ignore,1
transaction,1
hook,1
banquet,1
animation,1
akreditiranje,0
obeštećena,0
wearables,1
uhapsit,0
vodljivost,0
rušena,0
tipično,0
explore,1
highway,1
understanding,1
međugeneracijsku,0
property,1
potential,1
priljepke,0
lifestylea,1
belly,1
pageu,1
organizacijskim,0
not,1
tigrića,0
mutations,1
irelevantnim,0
zakonodavca,0
position,1
remixu,1
podvožnjake,0
destrukciju,0
rasijecanja,0
obespravljene,0
najljepše,0
vrapce,0
formalizam,0
vedrine,0
otpjeva,0
pojedinsoti,0
carving,1
blagoslovljenom,0
trailer,1
transfuzijska,0
učestvovati,0
interijerskog,0
drone,1
ispovjedne,0
soil,1
glue,1
drugookrivljenog,0
anarhističkim,0
desetogodišnjake,0
that,1
cult,1
zasvijetlit,0
department,1
entertain,1
shining,1
cabernet,1
mother,1
poći,0
fancy,1
digital,1
srodnica,0
followeri,1
protusrpskih,0
divide,1
foyer,1
index,1
aircraft,1
quiz,1
zagrljajima,0
roštiljadu,0
topless,1
punjenog,0
by,1
preuzimala,0
višesatnu,0
photo,1
newsletteru,1
škarpina,0
bauštela,0
anđelika,0
milieu,1
radnima,0
slucajno,0
spice,1
vintage,1
dopunskih,0
natural,1
dodge,1
drinking,1
zarekla,0
cube,1
leukemija,0
presidency,1
electronics,1
honour,1
doodle,1
refugee,1
rastaljenog,0
organiziralo,0
crvenu,0
ovrhe,0
subway,1
downsizinga,1
neinformiranošću,0
otkaznom,0
pljuca,0
gipsy,1
directly,1
dobnim,0
dress,1
trešnjevačka,0
suspregnu,0
odgovornog,0
election,1
altermodify,1
heaven,1
konzervativnijeg,0
given,1
ljetom,0
zaživjela,0
ritmičarke,0
epic,1
whose,1
videos,1
zatiljkom,0
immigration,1
instalaterima,0
touch,1
raspukne,0
gungulu,0
pastry,1
happen,1
former,1
crteža,0
broskvu,0
preglupo,0
pećinari,0
poludrago,0
wundercammera,0
canvas,1
definitno,0
nišani,0
sobno,0
suzavcu,0
pistachio,1
patrol,1
acid,1
neopisivoj,0
grilled,1
dužnoj,0
established,1
buzzword,1
demokratizirali,0
inoj,0
orbit,1
grown,1
postprodukcijom,0
simplexa,1
winning,1
magnetskim,0
krivudanja,0
least,1
mouth,1
friendship,1
master,1
separation,1
cooked,1
cooling,1
disruptor,1
evakuacijskom,0
waste,1
tracks,1
security,1
gift,1
harbour,1
jihadists,1
downhill,1
spiritus,1
syndrome,1
weddings,1
discus,1
jail,1
međugradskome,0
lash,1
shoegaze,1
biogradsko,0
considerable,1
trail,1
honky,1
prešanje,0
pritvoren,0
elektromagnetizma,0
dropu,0
izdiktirala,0
agape,1
heartquake,1
unanimous,1
aktivizmu,0
apparently,1
tetive,0
donesena,0
zabijanjem,0
prepreka,0
bučom,0
potiskivanja,0
debut,1
sadržini,0
sluzavim,0
birthday,1
calling,1
kolcem,0
čašicu,0
popričale,0
lifestyleu,1
escape,1
maminu,0
najpogibeljnije,0
pokvarimo,0
widespread,1
izviždati,0
powers,1
zaparao,0
bread,1
laughing,1
skupima,0
pretresu,0
sortiranja,0
palijativnog,0
jelkama,0
oveća,0
trader,1
mahunara,0
domain,1
iskupili,0
foteljašima,0
astronomom,0
usmjeravali,0
proslog,0
rack,1
najpovlaštenijeg,0
says,1
patch,1
mimoilaziti,0
flop,1
here,1
pomazanika,0
prvooptužena,0
mirnoći,0
myself,1
polutajnosti,0
čakovečku,0
jubilate,1
leadership,1
separatističku,0
gricnuti,0
unit,1
gave,1
kobase,0
odd,1
lažljivim,0
purple,1
rossu,0
tkanog,0
cache,1
garlic,1
rukovatelji,0
mrakom,0
znanstveno-nastavnih,0
raspberry,1
trozonskom,0
mošusom,0
pojavnostima,0
treptao,0
bundžija,0
rasvjetnom,0
deformiralo,0
potonju,0
šminkerice,0
hranidbi,0
zagovaračke,0
standing,1
reason,1
innovation,1
gameplay,1
fijumanski,0
agitirali,0
themselves,1
controversial,1
proteinskih,0
zarađenoj,0
eleven,1
zaletiti,0
bluesrock,1
alongside,1
autoritativnost,0
whisky,1
reboot,1
košarkaški,0
hladnjače,0
ormari,0
pokvare,0
neefikasni,0
popeglao,0
type,1
terrorist,1
learned,1
advantage,1
trolling,1
neistraženim,0
miksolog,0
zijevanja,0
nevezanje,0
melograf,0
qui,0
watch,1
unisex,1
jazzer,1
likvidirati,0
primopredajnik,0
sniježnih,0
bowling,1
društveni,0
mayday,1
closer,1
prokazale,0
muscle,1
gun,1
landslide,1
tomahawk,1
zidarskom,0
šile,0
skill,1
potkraj,0
approval,1
dobrovoljačkoj,0
binge,1
vitalnima,0
rušile,0
iskomplicirati,0
barrel,1
separate,1
focus,1
paint,1
izvršiteljima,0
mješanki,0
cancel,1
kolničkim,0
cut,1
korupcijama,0
nestajao,0
month,1
event,1
prerizično,0
geek,1
laprdanje,0
zaigramo,0
rastajanja,0
turned,1
baby,1
strojarskim,0
djevojačkih,0
deklariraš,0
čakavici,0
fucking,1
međuzvjezdano,0
liqueur,1
broj,0
strong,1
remontnim,0
formed,1
europarlamentarca,0
izoštrenim,0
desetorke,0
loaded,1
autumn,1
psych,1
spread,1
mud,1
justice,1
peder,0
dugovječnosti,0
sworn,1
proizvodnji,0
pork,1
weapon,1
roadshow,1
kitchen,1
neosvojivoj,0
odlući,0
waterbike,1
thriller,1
strake,1
nesagledive,0
hero,1
cenzurom,0
redstava,0
cijenila,0
push,1
faktorima,0
recycle,1
really,1
reumatskog,0
ucinili,0
doll,1
pečata,0
podređena,0
twerkašica,1
izvikala,0
karakterizacija,0
nadstrešnica,0
peep,1
trileri,0
jedinac,0
fighter,1
recent,1
pozivaju,0
okrenutim,0
puzajući,0
operirani,0
medical,1
nazivlju,0
yogom,1
ličko-senjskim,0
neodržavanje,0
worldwide,1
vizitacija,0
deportacije,0
read,1
radial,1
utopljenicima,0
kolonijalnom,0
prekršitelji,0
amsterdamskoj,0
deep,1
preispitali,0
derby,1
inning,1
emisari,0
synthesizer,1
printed,1
mjerilu,0
downtempo,1
velebitskih,0
članicom,0
delivery,1
ovlastima,0
njemčka,0
buktinju,0
smrekom,0
debris,1
toe,1
izazivate,0
follows,1
čakavska,0
aktivistica,0
kick,1
carried,1
trsa,0
related,1
cold,1
occupation,1
definirano,0
torque,1
najužasnijeg,0
quid,1
twittova,1
santu,0
švicarskome,0
pretrčavanju,0
melting,1
comedy,1
covered,1
cheesecake,1
web-site,1
subvencije,0
postavljam,0
lagerom,0
absolute,1
marked,1
grbači,0
bap,1
hračka,0
seizmičkih,0
prokazivanja,0
inkorporirane,0
sophisticated,1
tuckanja,0
medley,1
nurse,1
najlakšim,0
eclipse,1
singers,1
backstage,1
ranger,1
zoom,1
viljamovku,0
pudding,1
seed,1
višeminutno,0
najnormalnijim,0
relation,1
propalica,0
slowfox,1
šumarija,0
peer,1
stotu,0
ray,1
ekranizacijama,0
karambola,0
pomaganje,0
postulator,1
garage-rock,1
saving,1
participant,1
sought,1
perspective,1
povelike,0
cost,1
jastogom,0
proklizala,0
bodybuilderice,1
zubac,0
auto-show,1
njegovoga,0
prouzrokovanog,0
hidrantu,0
bosih,0
rič,0
wave,1
suspregnut,0
proposal,1
significant,1
best,1
aktivnom,0
društveno-ekonomska,0
act,1
father,1
collapse,1
secret,1
entertainment,1
designer,1
bacili,0
few,1
tamburaškim,0
hawk,1
dewy,1
kenozoika,0
jinglove,1
oglasnog,0
evoluirala,0
lone,1
španjolsku,0
podnošenju,0
izvediv,0
monocytogenes,1
episode,1
deadline,1
iceberg,1
officers,1
nick,1
mačko,0
elitističkoj,0
mining,1
odljevima,0
imobilizirano,0
boćali,0
relaxation,1
dalekoga,0
finance,1
savjetovanje,0
fish,1
leisure,1
obavezujući,0
nevoljkost,0
mlazove,0
požara,0
motion,1
smireno,0
colors,1
gangrenom,0
truljenjem,0
jevrejska,0
kriznoj,0
točionicu,0
linked,1
contemporary,1
projektirala,0
podređenost,0
caught,1
pijetlovima,0
nevjernom,0
drvenasti,0
secretary,1
zabavit,0
ultramaratonca,0
glagoljsku,0
soundsystema,1
training,1
folder,1
difficult,1
armadom,0
diplomacy,1
quartz,1
paradržavu,0
jungle,1
aqua,1
origin,1
distribute,1
poslovnjak,0
cannot,1
nadomjestaka,0
condition,1
nasmijavali,0
vodotornja,0
hipoksije,0
expressom,1
constitute,1
istječu,0
mas,0
dual,1
kretenskim,0
desetkovalo,0
song,1
dominant,1
beagle,1
moonwalk,1
want,1
floater,1
rental,1
boy,1
creator,1
jurećim,0
filantropu,0
potrošene,0
under,1
odspojiti,0
murder,1
light,1
soup,1
nekropolom,0
opterećivat,0
izlijevao,0
laknulo,0
škverskom,0
monastery,1
noćio,0
concept,1
meetupova,1
forever,1
novinarkine,0
susreo,0
